"引荐域名","页面权威度(AS)","出站链接数","垃圾识别原因","来源页面标题","来源页面URL","锚文本"
"iubungei.cloud-line.com","9","249","垃圾链接农场 (出站链接数高达 249 条，AS 仅 9 分)","令和四年度新入生歓迎号へのコメントはこちら | 作品へのコメント | 茨城大学文藝部","http://iubungei.cloud-line.com/comment/2022/06/106186/","Anomalous Coffee Machine"
"archiwum-obieg.u-jazdowski.pl","9","5638","垃圾链接农场 (出站链接数高达 5638 条，AS 仅 9 分)","Styczeń 2015 | obieg.pl","http://archiwum-obieg.u-jazdowski.pl/newsletter-obiegpl/34420","Anomalous Coffee Machine"
"yumepirika.com","8","310","垃圾链接农场 (出站链接数高达 310 条，AS 仅 8 分)","千代の甘酒 ひな祭りキャンペーンのお知らせ ゆめぴりか 通販なら ゆめぴりか専門店米のさくら屋！","https://yumepirika.com/hpgen/HPB/entries/44.html","Anomalous Coffee Machine"
"www.yochika.com","8","6086","垃圾链接农场 (出站链接数高达 6086 条，AS 仅 8 分)","恵比寿駅から恵比寿明治通り店の行きかた！ 【YOCHIKA】エルメスやシャネルを中心に世界中のラグジュアリーブランドを販売。独自の海外買付ルートで国内未入荷の最新作や希少な限定コレクションをいち早くお届け！京都・東京恵比寿・渋谷並木橋｜ブランドショップよちか 公式オンラインストア","https://www.yochika.com/SHOP/freepage_boot.php?id=509","Anomalous Coffee Machine"
"codeforphilly.org","8","381","垃圾链接农场 (出站链接数高达 381 条，AS 仅 8 分)","Developing a Testing/Scoring Logic — Code for Philly","https://codeforphilly.org/blog/developing_a_testing-scoring_logic","Anomalous Coffee Machine"
"admin.phacility.com","7","4393","垃圾链接农场 (出站链接数高达 4393 条，AS 仅 7 分)","⇪ profile","https://admin.phacility.com/F514093","Anomalous Coffee Machine"
"www.turistik.cz","6","364","垃圾链接农场 (出站链接数高达 364 条，AS 仅 6 分)","turistik.cz - Fórum - Přírodní koupaliště Nový Hrozenkov","https://www.turistik.cz/forum/typeId/2/objectId/39992/","Anomalous Coffee Machine"
"ikufuudo.com","6","1076","垃圾链接农场 (出站链接数高达 1076 条，AS 仅 6 分)","増田牛ハンバーグ みなかみ肉屋のレストラン、生ハム工房 ワインのつまみやギフトにおすすめ｜育風堂","https://ikufuudo.com/hpgen/HPB/entries/9.html","Anomalous Coffee Machine"
"blog.thelifeguardstore.com","6","367","垃圾链接农场 (出站链接数高达 367 条，AS 仅 6 分)","A Competitive Swim Blog: Team Division","http://blog.thelifeguardstore.com/2010/12/team-division.html","Anomalous Coffee Machine"
"www.cyu-kadekirei.com","5","239","垃圾链接农场 (出站链接数高达 239 条，AS 仅 5 分)","記憶に残る贈り物 担担麺専門通販 シャントゥーゴー by想吃担担面 担々麺、坦々麺","https://www.cyu-kadekirei.com/hpgen/HPB/entries/7.html","Anomalous Coffee Machine"
"www.minemurashouten.com","5","226","垃圾链接农场 (出站链接数高达 226 条，AS 仅 5 分)","【熟成って不思議です？？？】◇第３０号◇ 峰村醸造公式メルマガ～醸し出す日々～ 明治38年創業 峰村醸造｜越後味噌、醸造・発酵食品 通販サイト","https://www.minemurashouten.com/hpgen/HPB/entries/35.html","Anomalous Coffee Machine"
"www.cosamimetto.net","5","437","垃圾链接农场 (出站链接数高达 437 条，AS 仅 5 分)","Dal cotone alla lana, scopri la nuova collezione calze da uomo | Cosa Mi Metto???","http://www.cosamimetto.net/2022/12/dal-cotone-alla-lana-scopri-la-nuova.html","Anomalous Coffee Machine"
"torokeru-de.com","5","355","垃圾链接农场 (出站链接数高达 355 条，AS 仅 5 分)","メールマガジン・バックナンバー (7) チーズケーキ通販・お取り寄せの住吉屋｜静岡県熱海市（公式）","https://torokeru-de.com/hpgen/HPB/entries/116.html","Anomalous Coffee Machine"
"seeannajane.com","4","207","垃圾链接农场 (出站链接数高达 207 条，AS 仅 4 分)","Spring with Sézane - See (Anna) Jane.","https://seeannajane.com/spring-with-sezane-2/","Anomalous Coffee Machine"
"twelveoeightblog.com","4","471","垃圾链接农场 (出站链接数高达 471 条，AS 仅 4 分)","A little wooden footstool makeover before + after – twelveOeight","https://twelveoeightblog.com/a-little-wooden-footstool-makeover-before-after/","Anomalous Coffee Machine"
