"域名","页面权威度(AS)","外链分类大类","推荐优先级","来源页面标题","来源页面URL","竞品目标URL","锚文本","是否Nofollow","实操抄作业指南"
"m.blog.naver.com","22","1. 博客与玩家测评 (Blog & Reviews)","P0 (核心优先)","포켓몬 팬메이드 로그라이크 게임 (PokeRogue) - 무료 : 네이버 블로그","https://m.blog.naver.com/byecomeon/223473050199","https://pokerogue.cc/ko","링크","false","独立博客/玩家测评！去文章下发表正规评论带网址，或给博客作者发 OutReach 邮件申请测评你的游戏。"
"unclesnuffyesv.blogspot.com","0","1. 博客与玩家测评 (Blog & Reviews)","P0 (核心优先)","UncleSnuffyes","https://unclesnuffyesv.blogspot.com/","https://pokerogue.cc/","pokerogue.cc","true","独立博客/玩家测评！去文章下发表正规评论带网址，或给博客作者发 OutReach 邮件申请测评你的游戏。"
"limonetworkonline.com","0","1. 博客与玩家测评 (Blog & Reviews)","P0 (核心优先)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – My blog","http://limonetworkonline.com/?p=62061","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","独立博客/玩家测评！去文章下发表正规评论带网址，或给博客作者发 OutReach 邮件申请测评你的游戏。"
"goooogla.com","0","2. 导航和资源目录 (Directories & Catalogs)","P0 (核心优先)","Directory Pages Index","http://goooogla.com/best-for-ranking-dfgxekseo/fgkjfeseo/","https://pokerogue.cc/","pokerogue.cc","true","游戏目录与学校 Unblocked 导航站！直接免费注册提交你的游戏链接或将 /unblocked.html 专属页提交入驻。"
"www.lostinmyreverie.com.au","0","1. 博客与玩家测评 (Blog & Reviews)","P0 (核心优先)","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM | Lost In My Reverie","http://www.lostinmyreverie.com.au/blog/2026/02/06/tg-masslinker-software-to-publish-backlinks-2/","https://pokerogue.cc/ko","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM","true","独立博客/玩家测评！去文章下发表正规评论带网址，或给博客作者发 OutReach 邮件申请测评你的游戏。"
"dirbear.com","0","2. 导航和资源目录 (Directories & Catalogs)","P0 (核心优先)","Pokerogue — Bear Rank 16/100 | Directory Bear","https://dirbear.com/w/55/pokerogue.cc/","https://pokerogue.cc/","Visit Website →","true","游戏目录与学校 Unblocked 导航站！直接免费注册提交你的游戏链接或将 /unblocked.html 专属页提交入驻。"
"test.desa.com.my","0","1. 博客与玩家测评 (Blog & Reviews)","P0 (核心优先)","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – My Blog","https://test.desa.com.my/wp/2026/03/05/telegram-seo-linkk-order-seo-backlinks-homepage-3-9/","https://pokerogue.cc/ko","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS","true","独立博客/玩家测评！去文章下发表正规评论带网址，或给博客作者发 OutReach 邮件申请测评你的游戏。"
"g0ddy.com","13","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","","http://g0ddy.com/145665/%E3%80%8APok%C3%A9Rogue%E3%80%8B%E5%AE%8C%E6%95%B4%E6%94%BB%E7%95%A5%E5%A4%A7%E5%85%A8","https://pokerogue.cc/tw","","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.cool-style.com.tw","10","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","精神時光屋！所有人都在玩的免費網頁遊戲「寶可夢肉鴿」《PokéRogue》！","https://www.cool-style.com.tw/wd2/archives/1083263-%E7%B2%BE%E7%A5%9E%E6%99%82%E5%85%89%E5%B1%8B%EF%BC%81%E6%89%80%E6%9C%89%E4%BA%BA%E9%83%BD%E5%9C%A8%E7%8E%A9%E7%9A%84%E5%85%8D%E8%B2%BB%E7%B6%B2%E9%A0%81%E9%81%8A%E6%88%B2%E3%80%8C%E5%AF%B6%E5%8F%AF","https://pokerogue.cc/tw","https://pokerogue.cc/tw","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"clickme.net","10","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","免費寶可夢遊戲？精神時光屋《PokéRogue》陷入寶可夢對戰的肉鴿回合中！ | 點我一下","https://clickme.net/60705","https://pokerogue.cc/tw","​​​​​​​《PokéRogue》完整攻略大全","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"157.203.186.35.bc.googleusercontent.com","6","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","PokéRogue: Classic Game Mode Tips and Tricks","https://157.203.186.35.bc.googleusercontent.com/articles/pok-rogue-classic-game-mode-tips-and-tricks","https://pokerogue.cc/blogs/pokerogue-biomes","blog","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"vpn.bethnalgreenventures.com","5","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","Pokerogue Legendary Calendar","https://vpn.bethnalgreenventures.com/en/pokerogue-legendary-calendar.html","https://pokerogue.cc/blogs/pokerogue_fighting_endless.png","An endless starter guide for Pokérogue","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"www.gameleap.com","5","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","PokéRogue: Classic Game Mode Tips and Tricks","https://www.gameleap.com/articles/pok-rogue-classic-game-mode-tips-and-tricks","https://pokerogue.cc/blogs/pokerogue-biomes","blog","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
"msztodel105.europe-west1.gcp.storefrontcloud.io","4","4. 客座投稿与媒体软文 (Guest Posts & Media)","P2 (长尾观察)","PokéRogue: Classic Game Mode Tips and Tricks","https://msztodel105.europe-west1.gcp.storefrontcloud.io/articles/pok-rogue-classic-game-mode-tips-and-tricks","https://pokerogue.cc/blogs/pokerogue-biomes","blog","false","小型独立软文/泛娱乐站点，完成 P0/P1 后有空余精力时再尝试联系合作。"
