"域名","页面权威度(AS)","出站链接数","垃圾识别原因","来源页面标题","来源页面URL","锚文本"
"it.search.yahoo.com","24","19","搜索引擎 SERP 结果页，并非真实外部网站","Slaughterhouse - Risultati di Yahoo Italia Search","https://it.search.yahoo.com/yp/search?age=1m&ei=UTF-8&p=Slaughterhouse","pokerogue.cc › es PokeRogue | Un juego de Pokémon Rogue-lite"
"usa8-dev1.alpinelinux.org","11","6","黑帽寄生虫 / 劫持高权重机构二级域名","Pokerogue Calendar - DateZone","https://usa8-dev1.alpinelinux.org/en/pokerogue-calendar.html",""
"laurelstreetsmiles.com","2","2308","Telegram 批量卖外链广告/电报群叫卖农场","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS – yenbasingdmd","https://laurelstreetsmiles.com/telegram-seo-linkk-order-seo-backlinks-homepage-3-17/","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS"
"silva.adv.br","1","2505","Telegram 批量卖外链广告/电报群叫卖农场","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM « Silva Advogados – Curitiba – Paraná – (41) 3311-2476","http://silva.adv.br/tg-masslinker-software-to-publish-backlinks-2/","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM"
"optimizeflow.top","0","3500","垃圾链接农场 (出站链接数高达 3500 条，AS 仅 0 分)","✅ Website Stats 📊","https://optimizeflow.top/stats/85918","pokerogue.cc"
"pharmaglob-uae.com","0","2504","Telegram 批量卖外链广告/电报群叫卖农场","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Pharmaceutical Company","https://pharmaglob-uae.com/tg-masslinker-software-to-publish-backlinks-7/","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM"
"onlinenursingdegreenow.net","0","2302","Telegram 批量卖外链广告/电报群叫卖农场","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS - Online Nursing Degrees","https://onlinenursingdegreenow.net/telegram-seo-linkk-order-seo-backlinks-homepage-3-3/","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS"
"nutrindoconexao.com","0","2503","Telegram 批量卖外链广告/电报群叫卖农场","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Nutrindo Conexão","https://nutrindoconexao.com/tg-masslinker-software-to-publish-backlinks-5/","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM"
"onesupport.dk","0","2299","Telegram 批量卖外链广告/电报群叫卖农场","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS | One Support DK - Private PC & Mac Support","https://onesupport.dk/telegram-seo-linkk-order-seo-backlinks-homepage-3-24/","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS"
"photoenmarkarte.com","0","2301","Telegram 批量卖外链广告/电报群叫卖农场","TELEGRAM @SEO_LINKK_ORDER - SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS | Photo EnmarKarte","https://photoenmarkarte.com/2026/03/05/telegram-seo-linkk-order-seo-backlinks-homepage-3-17/","TELEGRAM @SEO_LINKK_ORDER – SEO BACKLINKS, HOMEPAGE LINKS, CROSSLINKS"
"rkartsy.com","0","2500","Telegram 批量卖外链广告/电报群叫卖农场","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – RKArtsy","https://rkartsy.com/tg-masslinker-software-to-publish-backlinks-7/","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM"
"sandovalandscaping.com","0","2501","Telegram 批量卖外链广告/电报群叫卖农场","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM – Sandoval Landscaping","https://sandovalandscaping.com/tg-masslinker-software-to-publish-backlinks-2/","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM"
"quero.party","0","3500","垃圾链接农场 (出站链接数高达 3500 条，AS 仅 0 分)","👲 Domain Report 👲","https://quero.party/report/85918","pokerogue.cc"
"qsoftware.io","0","2500","Telegram 批量卖外链广告/电报群叫卖农场","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM - Qsoftware Tech","https://qsoftware.io/tg-masslinker-software-to-publish-backlinks-7/","TG @MASSLINKER | SOFTWARE TO PUBLISH BACKLINKS YOURSELF | MASSLINKER.COM"
