"交叉重合度","重合站点数量","使用该外链的竞品","引荐域名","域名权威度(AS)","外链分类","推荐优先级","代表性来源页面","代表性页面标题","实操抄作业指南"
"⭐⭐⭐ 重合度高 (多同行通用)","3","pokerogue.cc, sprunkid.com, sprunkigame.io","www.pdfbookee.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P0 (必做金矿)","https://www.pdfbookee.com/un/ogue-un-juego-de-pokemon-rogue-lite.html","Ogue | Un Juego De Pokémon Rogue-lite | Free pdf textbooks download online","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐⭐ 重合度中 (2家同行验证)","2","sprunkid.com, sprunkigame.io","prntbl.concejomunicipaldechinu.gov.co","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P0 (高价值)","https://prntbl.concejomunicipaldechinu.gov.co/characters-a-court-of-thorns-and-roses/","Characters A Court Of Thorns And Roses - prntbl.concejomunicipaldechinu.gov.co","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐⭐ 重合度中 (2家同行验证)","2","sprunkid.com, sprunkigame.io","vuink.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P0 (高价值)","https://vuink.com/post/gurtenlphore-d-dpbz/fast_numbers","Fast Numbers - TheGrayCuber","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐⭐ 重合度中 (2家同行验证)","2","sprunkid.com, sprunkigame.io","globalbing.southaki.top","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P0 (高价值)","https://globalbing.southaki.top/images/search?FORM=IRBPRS&q=Cover%2BPage%2BS","Cover+Page+S - Search Images","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐⭐ 重合度中 (2家同行验证)","2","sprunkid.com, sprunkigame.io","robuta.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P0 (高价值)","https://robuta.com/?q=sprunki","sprunki - Robuta Search","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐⭐ 重合度中 (2家同行验证)","2","sprunkid.com, sprunkigame.io","www.bingapis.com","0","4. 客座投稿与媒体软文 (Guest Posts & Media)","P0 (高价值)","https://www.bingapis.com/images/?FORM=IRFLTR&ch=1024&cw=1129&q=Hoopa%2BMystery%2BGift%2BCode&qft&qft=%2Bfilterui%3Aphoto-linedrawing%2Bfilterui%3Aage-lt10080%2Bfilterui%3Aface-face&ubiroff=1","Hoopa+Mystery+Gift+Code - Search Images","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐ 独立覆盖 (单同行踩点)","1","sprunkid.com","www.agenthunter.io","63","4. 客座投稿与媒体软文 (Guest Posts & Media)","P1 (推荐跟进)","https://www.agenthunter.io/","AgentHunter","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐ 独立覆盖 (单同行踩点)","1","sprunkid.com","degames.org","49","4. 客座投稿与媒体软文 (Guest Posts & Media)","P1 (推荐跟进)","https://degames.org/","DeGames","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐ 独立覆盖 (单同行踩点)","1","sprunkid.com","ghibliaigenerator.app","49","4. 客座投稿与媒体软文 (Guest Posts & Media)","P1 (推荐跟进)","https://ghibliaigenerator.app/","Ghibli AI Generator | Turn Photos into Studio Ghibli Style","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
"⭐ 独立覆盖 (单同行踩点)","1","sprunkid.com","sprunkr.dev","46","4. 客座投稿与媒体软文 (Guest Posts & Media)","P1 (推荐跟进)","https://sprunkr.dev/","Sprunkr - Find Sprunkr for Sprunki | Sprunkr","科技/游戏媒体站！联系 Contact Us 发送新闻稿或跑酷攻略投稿。"
